INFO 2022-08-07 23:40:43,737 autoreload 12004 14556 Watching for file changes with StatReloader
INFO 2022-08-07 23:40:48,926 basehttp 12004 38688 "GET / HTTP/1.1" 200 4
INFO 2022-08-07 23:40:49,064 basehttp 12004 38688 "GET / HTTP/1.1" 200 4
INFO 2022-08-07 23:42:00,116 autoreload 12004 14556 D:\apple\workspace\py\BlogDJ\BlogDJ\BlogDJ\urls.py changed, reloading.
INFO 2022-08-07 23:42:01,569 autoreload 37772 41212 Watching for file changes with StatReloader
INFO 2022-08-07 23:42:27,559 autoreload 37772 41212 D:\apple\workspace\py\BlogDJ\BlogDJ\BlogDJ\urls.py changed, reloading.
INFO 2022-08-07 23:42:29,552 autoreload 37828 43716 Watching for file changes with StatReloader
INFO 2022-08-07 23:42:52,464 autoreload 32188 44104 Watching for file changes with StatReloader
INFO 2022-08-07 23:42:56,591 urls 32188 32900 成功使用名为django的logger
INFO 2022-08-07 23:42:56,611 basehttp 32188 32900 "GET / HTTP/1.1" 200 4
INFO 2022-08-07 23:56:05,981 autoreload 44528 2284 Watching for file changes with StatReloader
INFO 2022-08-07 23:56:08,650 urls 44528 8648 成功使用名为django的logger
INFO 2022-08-07 23:56:08,659 basehttp 44528 8648 "GET / HTTP/1.1" 200 4
WARNING 2022-08-07 23:56:15,711 log 44528 8648 Not Found: /static
WARNING 2022-08-07 23:56:15,711 basehttp 44528 8648 "GET /static HTTP/1.1" 404 2057
WARNING 2022-08-07 23:56:26,283 basehttp 44528 8648 "GET /static/index.html HTTP/1.1" 404 1654
INFO 2022-08-07 23:57:29,234 basehttp 44528 42432 "GET /static/js/index.js HTTP/1.1" 200 590
INFO 2022-08-08 00:14:37,153 autoreload 45520 45028 Watching for file changes with StatReloader
INFO 2022-08-08 00:14:39,962 urls 45520 45068 成功使用名为django的logger
INFO 2022-08-08 00:14:39,978 basehttp 45520 45068 "GET / HTTP/1.1" 200 4
INFO 2022-08-08 00:14:50,197 basehttp 45520 45068 "GET /static/index.html HTTP/1.1" 200 12002
INFO 2022-08-08 00:14:50,257 basehttp 45520 34136 "GET /static/md_css/monokai.css HTTP/1.1" 200 4118
INFO 2022-08-08 00:14:50,259 basehttp 45520 45248 "GET /static/common/common.css HTTP/1.1" 200 381
INFO 2022-08-08 00:14:50,260 basehttp 45520 45916 "GET /static/common/jquery.pagination.css HTTP/1.1" 200 523
INFO 2022-08-08 00:14:50,260 basehttp 45520 45068 "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140942
INFO 2022-08-08 00:14:50,270 basehttp 45520 45248 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2022-08-08 00:14:50,273 basehttp 45520 34136 "GET /static/js/jquery-1.12.4.min.js HTTP/1.1" 200 97163
INFO 2022-08-08 00:14:50,277 basehttp 45520 45068 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2022-08-08 00:14:50,308 basehttp 45520 34136 "GET /static/js/host.js HTTP/1.1" 200 35
INFO 2022-08-08 00:14:50,317 basehttp 45520 34136 "GET /static/js/common.js HTTP/1.1" 200 891
INFO 2022-08-08 00:14:50,328 basehttp 45520 34136 "GET /static/js/index.js HTTP/1.1" 304 0
INFO 2022-08-08 00:14:50,335 basehttp 45520 34136 "GET /static/js/jquery.pagination.min.js HTTP/1.1" 200 2935
